sample,cropped_percentage,rmse_org,rel_org,rmse_cropped,rel_cropped
bedroom/rgb_01020.jpg bedroom/sync_depth_01020.png 518.8579,75,0.34703013,0.13642195,2.616841,0.66405886
bedroom/rgb_01021.jpg bedroom/sync_depth_01021.png 518.8579,75,0.701028,0.1369406,2.524516,0.5536164
bedroom/rgb_01022.jpg bedroom/sync_depth_01022.png 518.8579,75,0.7243407,0.19400273,2.1313028,0.5608756
bedroom/rgb_01031.jpg bedroom/sync_depth_01031.png 518.8579,75,0.43068814,0.1659123,1.3259966,0.48803547
bedroom/rgb_01032.jpg bedroom/sync_depth_01032.png 518.8579,75,0.37370592,0.16070282,0.7821407,0.33105946
bedroom/rgb_01033.jpg bedroom/sync_depth_01033.png 518.8579,75,0.41304517,0.16979699,0.885455,0.3283457
bedroom/rgb_01037.jpg bedroom/sync_depth_01037.png 518.8579,75,0.44488993,0.19574375,1.5615168,0.48470974
bedroom/rgb_01038.jpg bedroom/sync_depth_01038.png 518.8579,75,0.22392471,0.05560441,2.068021,0.57944113
bedroom/rgb_01047.jpg bedroom/sync_depth_01047.png 518.8579,75,0.47472852,0.27036247,0.88325727,0.3033043
bedroom/rgb_01048.jpg bedroom/sync_depth_01048.png 518.8579,75,0.2880993,0.09158364,1.3718208,0.49755687
bedroom/rgb_01051.jpg bedroom/sync_depth_01051.png 518.8579,75,0.27855337,0.11364942,1.2368708,0.45408708
bedroom/rgb_01056.jpg bedroom/sync_depth_01056.png 518.8579,75,0.19308618,0.059557583,1.8960638,0.4934988
bedroom/rgb_01057.jpg bedroom/sync_depth_01057.png 518.8579,75,0.17499107,0.064715646,0.76642483,0.35758075
bedroom/rgb_01074.jpg bedroom/sync_depth_01074.png 518.8579,75,0.52613825,0.1689203,2.701977,0.65460855
bedroom/rgb_01075.jpg bedroom/sync_depth_01075.png 518.8579,75,0.375462,0.13018005,1.4385672,0.4665256
bedroom/rgb_01076.jpg bedroom/sync_depth_01076.png 518.8579,75,0.5314993,0.19172943,1.5529835,0.4304171
bedroom/rgb_01077.jpg bedroom/sync_depth_01077.png 518.8579,75,0.39761063,0.14949743,1.1959674,0.44968542
bedroom/rgb_01078.jpg bedroom/sync_depth_01078.png 518.8579,75,0.7645506,0.27378014,1.2934873,0.3646874
bedroom/rgb_01079.jpg bedroom/sync_depth_01079.png 518.8579,75,0.3558361,0.10923258,1.5586776,0.49020228
bedroom/rgb_01080.jpg bedroom/sync_depth_01080.png 518.8579,75,0.8772494,0.22688644,2.5061512,0.59846956
bedroom/rgb_01081.jpg bedroom/sync_depth_01081.png 518.8579,75,0.80590355,0.22877117,2.4594908,0.50097877
bedroom/rgb_01082.jpg bedroom/sync_depth_01082.png 518.8579,75,0.4787171,0.18867342,0.6160272,0.2659503
bedroom/rgb_01083.jpg bedroom/sync_depth_01083.png 518.8579,75,0.33819228,0.12584722,1.3563389,0.45306
bedroom/rgb_01087.jpg bedroom/sync_depth_01087.png 518.8579,75,0.3442624,0.16556753,0.9618639,0.37753978
bedroom/rgb_01088.jpg bedroom/sync_depth_01088.png 518.8579,75,0.25014183,0.10052052,1.8268358,0.49700496
bedroom/rgb_01089.jpg bedroom/sync_depth_01089.png 518.8579,75,0.47892848,0.22101879,0.6108252,0.2401112
bedroom/rgb_01090.jpg bedroom/sync_depth_01090.png 518.8579,75,0.37065443,0.14081246,1.8273317,0.5328778
bedroom/rgb_01091.jpg bedroom/sync_depth_01091.png 518.8579,75,0.16040552,0.05335105,1.3526328,0.47909164
bedroom/rgb_01093.jpg bedroom/sync_depth_01093.png 518.8579,75,0.27952674,0.10882501,0.6767185,0.2563473
bedroom/rgb_01094.jpg bedroom/sync_depth_01094.png 518.8579,75,0.38518322,0.17171408,1.2862335,0.4490169
bedroom/rgb_01095.jpg bedroom/sync_depth_01095.png 518.8579,75,0.2182182,0.12784438,0.7506805,0.25619575
bedroom/rgb_01097.jpg bedroom/sync_depth_01097.png 518.8579,75,0.42312807,0.13729016,1.9603921,0.56448656
bedroom/rgb_01098.jpg bedroom/sync_depth_01098.png 518.8579,75,0.32042083,0.08401321,1.8885243,0.52497584
bedroom/rgb_01099.jpg bedroom/sync_depth_01099.png 518.8579,75,0.20042433,0.043040346,1.2584959,0.41393095
bedroom/rgb_01100.jpg bedroom/sync_depth_01100.png 518.8579,75,0.2927132,0.09857367,2.0563169,0.45567113
bedroom/rgb_01101.jpg bedroom/sync_depth_01101.png 518.8579,75,0.28939164,0.10842855,1.892197,0.5504914
bedroom/rgb_01102.jpg bedroom/sync_depth_01102.png 518.8579,75,0.515424,0.14282393,1.5121114,0.48452362
bedroom/rgb_01103.jpg bedroom/sync_depth_01103.png 518.8579,75,0.28293556,0.054879643,0.93353796,0.36991993
bedroom/rgb_01105.jpg bedroom/sync_depth_01105.png 518.8579,75,0.19903326,0.0631834,1.6621091,0.54701906
bedroom/rgb_01106.jpg bedroom/sync_depth_01106.png 518.8579,75,0.27404732,0.058022812,1.7621788,0.48678115
bedroom/rgb_01107.jpg bedroom/sync_depth_01107.png 518.8579,75,0.49248412,0.110648565,2.1554875,0.49113563
bedroom/rgb_01108.jpg bedroom/sync_depth_01108.png 518.8579,75,0.2622495,0.109555595,1.0121638,0.3459482
bedroom/rgb_01116.jpg bedroom/sync_depth_01116.png 518.8579,75,0.3937433,0.13118637,1.8108735,0.48701325
bedroom/rgb_01117.jpg bedroom/sync_depth_01117.png 518.8579,75,0.42983162,0.22586319,0.7899712,0.35267302
bedroom/rgb_01118.jpg bedroom/sync_depth_01118.png 518.8579,75,0.46750358,0.25916588,0.6255203,0.27859446
bedroom/rgb_01123.jpg bedroom/sync_depth_01123.png 518.8579,75,0.45332402,0.14424898,1.4802282,0.3960837
bedroom/rgb_01124.jpg bedroom/sync_depth_01124.png 518.8579,75,0.4302764,0.1333379,1.5999413,0.5064108
bedroom/rgb_01125.jpg bedroom/sync_depth_01125.png 518.8579,75,0.34250608,0.1625459,0.38347426,0.17354295
bedroom/rgb_01126.jpg bedroom/sync_depth_01126.png 518.8579,75,0.43217912,0.11507178,2.0465446,0.47042084
bedroom/rgb_01127.jpg bedroom/sync_depth_01127.png 518.8579,75,0.23988657,0.11331062,0.88359827,0.28808078
bedroom/rgb_01128.jpg bedroom/sync_depth_01128.png 518.8579,75,0.28969175,0.08396219,2.017345,0.5339704
bedroom/rgb_01129.jpg bedroom/sync_depth_01129.png 518.8579,75,0.2640801,0.09326737,3.3443704,0.7104034
bedroom/rgb_01130.jpg bedroom/sync_depth_01130.png 518.8579,75,0.21590382,0.09071789,1.3545395,0.46156093
bedroom/rgb_01134.jpg bedroom/sync_depth_01134.png 518.8579,75,0.17674153,0.06948427,1.013386,0.3609306
bedroom/rgb_01135.jpg bedroom/sync_depth_01135.png 518.8579,75,0.37429917,0.17911515,0.5913302,0.26617083
bedroom/rgb_01143.jpg bedroom/sync_depth_01143.png 518.8579,75,0.25941768,0.121297605,1.0067273,0.37716952
bedroom/rgb_01144.jpg bedroom/sync_depth_01144.png 518.8579,75,0.3253103,0.08323574,2.631139,0.57232976
bedroom/rgb_01145.jpg bedroom/sync_depth_01145.png 518.8579,75,0.37165356,0.10789986,1.4342343,0.37437925
bedroom/rgb_01146.jpg bedroom/sync_depth_01146.png 518.8579,75,0.38955024,0.15146042,0.7300441,0.3240397
bedroom/rgb_01147.jpg bedroom/sync_depth_01147.png 518.8579,75,0.4442046,0.17220816,1.152592,0.3840045
bedroom/rgb_01148.jpg bedroom/sync_depth_01148.png 518.8579,75,0.3313595,0.16941234,0.42204767,0.22406429
bedroom/rgb_01149.jpg bedroom/sync_depth_01149.png 518.8579,75,0.24133001,0.06238076,2.5986576,0.49971083
bedroom/rgb_01151.jpg bedroom/sync_depth_01151.png 518.8579,75,0.42104214,0.15499932,1.3047283,0.43788403
bedroom/rgb_01152.jpg bedroom/sync_depth_01152.png 518.8579,75,0.09346792,0.059921723,0.6956894,0.3314629
bedroom/rgb_01153.jpg bedroom/sync_depth_01153.png 518.8579,75,0.4759524,0.21987264,0.6141839,0.2924648
